Provinsi,Jumlah Sekolah SMA (Negeri),Jumlah Sekolah SMA (Swasta),Jumlah Sekolah SMA (Negeri+Swasta),Jumlah Guru SMA (Negeri),Jumlah Guru SMA (Swasta),Jumlah Guru SMA (Negeri+Swasta),Jumlah Murid SMA (Negeri),Jumlah Murid SMA (Swasta),Jumlah Murid SMA (Negeri+Swasta)
Aceh,394,145,539,12463,1593,14056,118487,19170,137657
Sumatera Utara,432,635,1067,16265,8137,24402,248734,141165,389899
Sumatera Barat,236,102,338,9800,1340,11140,138979,14556,153535
Riau,313,154,467,10280,2093,12373,148011,24284,172295
Jambi,163,84,247,5327,804,6131,71000,10429,81429
Sumatera Selatan,330,283,613,12180,3276,15456,171193,48921,220114
Bengkulu,109,42,151,3936,351,4287,51685,3009,54694
Lampung,239,288,527,8363,3342,11705,128161,44657,172818
Kepulauan Bangka Belitung,47,27,74,1493,335,1828,27129,4325,31454
Kepulauan Riau,93,75,168,3004,778,3782,49014,8261,57275
DKI Jakarta,117,379,496,5184,6859,12043,88181,103924,192105
Jawa Barat,514,1254,1768,25780,17476,43256,530509,293262,823771
Jawa Tengah,362,499,861,18389,7746,26135,343035,109919,452954
DI Yogyakarta,69,104,173,2642,1701,4343,43387,17744,61131
Jawa Timur,423,1094,1517,19970,14841,34811,351429,197252,548681
Banten,161,446,607,6630,6107,12737,144431,80877,225308
Bali,90,73,163,4759,1095,5854,81893,13792,95685
Nusa Tenggara Barat,150,215,365,7551,2183,9734,96571,20349,116920
Nusa Tenggara Timur,393,218,611,12626,4667,17293,145341,61698,207039
Kalimantan Barat,285,187,472,6590,2011,8601,102734,29833,132567
Kalimantan Tengah,181,64,245,4462,686,5148,56103,6568,62671
Kalimantan Selatan,142,65,207,4296,740,5036,60883,7281,68164
Kalimantan Timur,145,92,237,4290,1105,5395,68792,13541,82333
Kalimantan Utara,46,22,68,1205,252,1457,16080,2806,18886
Sulawesi Utara,121,108,229,3754,1035,4789,50115,13452,63567
Sulawesi Tengah,176,58,234,5077,606,5683,73086,6780,79866
Sulawesi Selatan,337,270,607,13382,2785,16167,193254,36763,230017
Sulawesi Tenggara,251,64,315,7969,566,8535,89328,5209,94537
Gorontalo,62,9,71,1950,123,2073,30376,1270,31646
Sulawesi Barat,77,15,92,2373,91,2464,28370,1295,29665
Maluku,215,73,288,5485,1236,6721,57822,11768,69590
Maluku Utara,139,85,224,3201,744,3945,35868,8941,44809
Papua Barat,43,21,64,954,331,1285,13327,3554,16881
Papua Barat Daya,43,29,72,972,390,1362,10660,3600,14260
Papua,57,56,113,1467,843,2310,22167,11102,33269
Papua Selatan,22,15,37,709,214,923,9966,2918,12884
Papua Tengah,28,28,56,684,363,1047,10862,5352,16214
Papua Pegunungan,44,18,62,603,237,840,9944,3899,13843
Indonesia,7049,7396,14445,256065,99082,355147,3916907,1393526,5310433
,,,,,,,,,
Catatan,,,,,,,,,
<sup>1</sup>Jumlah guru termasuk kepala sekolah dan guru/The total of teachers including headmaster and teacher ,,,,,,,,,
<sup>2</sup>Jumlah tidak termasuk sekolah luar negeri/Total does not include foreign schools,,,,,,,,,
