id,kode_provinsi,nama_provinsi,rata_rata_lama_sekolah,satuan,tahun
1,11,ACEH,8.28,TAHUN,2010
2,12,SUMATERA UTARA,8.51,TAHUN,2010
3,13,SUMATERA BARAT,8.13,TAHUN,2010
4,14,RIAU,8.25,TAHUN,2010
5,15,JAMBI,7.34,TAHUN,2010
6,16,SUMATERA SELATAN,7.34,TAHUN,2010
7,17,BENGKULU,7.85,TAHUN,2010
8,18,LAMPUNG,7.26,TAHUN,2010
9,19,KEPULAUAN BANGKA BELITUNG,7.07,TAHUN,2010
10,21,KEPULAUAN RIAU,9.38,TAHUN,2010
11,31,DKI JAKARTA,10.37,TAHUN,2010
12,32,JAWA BARAT,7.4,TAHUN,2010
13,33,JAWA TENGAH,6.71,TAHUN,2010
14,34,DI YOGYAKARTA,8.51,TAHUN,2010
15,35,JAWA TIMUR,6.73,TAHUN,2010
16,36,BANTEN,7.92,TAHUN,2010
17,51,BALI,7.74,TAHUN,2010
18,52,NUSA TENGGARA BARAT,5.73,TAHUN,2010
19,53,NUSA TENGGARA TIMUR,6.5,TAHUN,2010
20,61,KALIMANTAN BARAT,6.27,TAHUN,2010
21,62,KALIMANTAN TENGAH,7.62,TAHUN,2010
22,63,KALIMANTAN SELATAN,7.25,TAHUN,2010
23,64,KALIMANTAN TIMUR,8.56,TAHUN,2010
24,65,KALIMANTAN UTARA,0.0,TAHUN,2010
25,71,SULAWESI UTARA,8.66,TAHUN,2010
26,72,SULAWESI TENGAH,7.65,TAHUN,2010
27,73,SULAWESI SELATAN,7.29,TAHUN,2010
28,74,SULAWESI TENGGARA,7.57,TAHUN,2010
29,75,GORONTALO,6.85,TAHUN,2010
30,76,SULAWESI BARAT,6.63,TAHUN,2010
31,81,MALUKU,8.64,TAHUN,2010
32,82,MALUKU UTARA,7.91,TAHUN,2010
33,91,PAPUA BARAT,6.77,TAHUN,2010
34,94,PAPUA,5.59,TAHUN,2010
35,11,ACEH,8.32,TAHUN,2011
36,12,SUMATERA UTARA,8.61,TAHUN,2011
37,13,SUMATERA BARAT,8.2,TAHUN,2011
38,14,RIAU,8.29,TAHUN,2011
39,15,JAMBI,7.48,TAHUN,2011
40,16,SUMATERA SELATAN,7.42,TAHUN,2011
41,17,BENGKULU,7.93,TAHUN,2011
42,18,LAMPUNG,7.28,TAHUN,2011
43,19,KEPULAUAN BANGKA BELITUNG,7.19,TAHUN,2011
44,21,KEPULAUAN RIAU,9.46,TAHUN,2011
45,31,DKI JAKARTA,10.4,TAHUN,2011
46,32,JAWA BARAT,7.46,TAHUN,2011
47,33,JAWA TENGAH,6.74,TAHUN,2011
48,34,DI YOGYAKARTA,8.53,TAHUN,2011
49,35,JAWA TIMUR,6.79,TAHUN,2011
50,36,BANTEN,7.95,TAHUN,2011
51,51,BALI,7.77,TAHUN,2011
52,52,NUSA TENGGARA BARAT,6.07,TAHUN,2011
53,53,NUSA TENGGARA TIMUR,6.6,TAHUN,2011
54,61,KALIMANTAN BARAT,6.32,TAHUN,2011
55,62,KALIMANTAN TENGAH,7.68,TAHUN,2011
56,63,KALIMANTAN SELATAN,7.37,TAHUN,2011
57,64,KALIMANTAN TIMUR,8.79,TAHUN,2011
58,65,KALIMANTAN UTARA,0.0,TAHUN,2011
59,71,SULAWESI UTARA,8.68,TAHUN,2011
60,72,SULAWESI TENGAH,7.69,TAHUN,2011
61,73,SULAWESI SELATAN,7.33,TAHUN,2011
62,74,SULAWESI TENGGARA,7.67,TAHUN,2011
63,75,GORONTALO,6.89,TAHUN,2011
64,76,SULAWESI BARAT,6.65,TAHUN,2011
65,81,MALUKU,8.72,TAHUN,2011
66,82,MALUKU UTARA,7.98,TAHUN,2011
67,91,PAPUA BARAT,6.82,TAHUN,2011
68,94,PAPUA,5.6,TAHUN,2011
69,11,ACEH,8.36,TAHUN,2012
70,12,SUMATERA UTARA,8.72,TAHUN,2012
71,13,SUMATERA BARAT,8.27,TAHUN,2012
72,14,RIAU,8.34,TAHUN,2012
73,15,JAMBI,7.69,TAHUN,2012
74,16,SUMATERA SELATAN,7.5,TAHUN,2012
75,17,BENGKULU,8.01,TAHUN,2012
76,18,LAMPUNG,7.3,TAHUN,2012
77,19,KEPULAUAN BANGKA BELITUNG,7.25,TAHUN,2012
78,21,KEPULAUAN RIAU,9.58,TAHUN,2012
79,31,DKI JAKARTA,10.43,TAHUN,2012
80,32,JAWA BARAT,7.52,TAHUN,2012
81,33,JAWA TENGAH,6.77,TAHUN,2012
82,34,DI YOGYAKARTA,8.63,TAHUN,2012
83,35,JAWA TIMUR,6.85,TAHUN,2012
84,36,BANTEN,8.06,TAHUN,2012
85,51,BALI,8.05,TAHUN,2012
86,52,NUSA TENGGARA BARAT,6.33,TAHUN,2012
